SSECTOR,TOTAL_CERA
-,488
BP-11-8,14
BP-11-9,1
BP-11-9 (1y2),2
BP-2-15,1
BP-2-17,2
BP-2-18,1
BP-2-22,3
BP-2-23,4
BP-2-30,2
BP-2-32,4
BP-2-34,12
BP-2-35,27
BP-2-36,40
BP-2-37,4
BP-2-4,59
BP-2-4/7,27
BP-2-5,16
BP-2-7,16
BP-3-1/2,61
BP-3-10,4
BP-3-14,4
BP-3-15/16/17,21
BP-3-24,6
BP-3-26,58
BP-3-27,8
BP-3-28,23
BP-3-29,152
BP-3-3/4,25
BP-3-30,218
BP-3-33,35
BP-3-42,17
BP-4-1/2,158
BP-4-11,1
BP-4-13/14,4
BP-4-15,9
BP-4-16,24
BP-4-18,76
BP-4-19,53
BP-4-20,60
BP-4-21/22,10
BP-4-23,4
BP-4-24,1
BP-4-25/26,2
BP-4-27,7
BP-4-28,1
BP-4-29,1
BP-4-3,154
BP-4-30,1
BP-4-31,1
BP-4-4,94
BP-4-5,151
BP-4-6,78
BP-4-7,7
BP-4-8,29
BP-4-9,10
BP-6-1,7
BP-6-11,7
BP-6-2,10
BP-6-3,18
BP-6-4,21
BP-6-5,11
BP-6-6,16
BP-6-7,14
BP-6-9,6
BP-8-1/2,24
BP-8-10,6
BP-8-11,3
BP-8-13,12
BP-8-14,10
BP-8-20,1
BP-8-22,24
BP-8-4,23
BP-8-7,3
BP-8-9,74
