REGIO,SUBSECTOR,SECTOR,LABIO,BORDE,FORMA,BASE,ASA,DECOR_1,DECOR_2,TOTAL,SUMA,COMENTARI,PASADA_2,YACIMIENTO,AREA
SERPIS,XLVI-6-2,XLVI-6,,,0,0,0,,,3,281,,NO,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,,,0,0,0,,,209,281,"TRANSFORMACI‡N DE BANCAL
+ 19 FRAGS IBERICOS",SI,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,,,0,0,0,50,,3,281,"TRANSFORMACI‡N DE BANCAL
+ 19 FRAGS IBERICOS",SI,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,,,0,0,0,46,,1,281,"TRANSFORMACI‡N DE BANCAL
+ 19 FRAGS IBERICOS",SI,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,,2,7,0,0,,,1,281,"TRANSFORMACI‡N DE BANCAL
+ 19 FRAGS IBERICOS",SI,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,10,0,1,0,0,,,2,281,"TRANSFORMACI‡N DE BANCAL
+ 19 FRAGS IBERICOS",SI,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,10,,0,0,0,,,1,281,"TRANSFORMACI‡N DE BANCAL
+ 19 FRAGS IBERICOS",SI,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,20,,0,0,0,,,1,281,"TRANSFORMACI‡N DE BANCAL
+ 19 FRAGS IBERICOS",SI,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,51,0,0,0,0,,,2,281,"TRANSFORMACI‡N DE BANCAL
+ 19 FRAGS IBERICOS",SI,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,52,0,0,0,0,,,1,281,"TRANSFORMACI‡N DE BANCAL
+ 19 FRAGS IBERICOS",SI,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,62,0,0,0,0,,,2,281,"TRANSFORMACI‡N DE BANCAL
+ 19 FRAGS IBERICOS",SI,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,,,0,0,3,,,3,281,"TRANSFORMACI‡N DE BANCAL
+ 19 FRAGS IBERICOS",SI,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,,,0,41,0,,,3,281,"TRANSFORMACI‡N DE BANCAL
+ 19 FRAGS IBERICOS",SI,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,,,0,42,0,,,2,281,"TRANSFORMACI‡N DE BANCAL
+ 19 FRAGS IBERICOS",SI,AC-37,XLVI
SERPIS,XIII-21-13,XIII-21,,,0,0,0,,,2,281,+ 2 IBERICAS,SI,AC-71,XIII
SERPIS,XIII-23-5,XIII-23,,,0,0,0,,,1,281,,SI,,XIII
SERPIS,XLVI-5-1,XLVI-5,,,0,0,0,,,1,281,,NO,,XLVI
SERPIS,XLVI-6-1,XLVI-6,,,0,0,0,,,1,281,,NO,AC-37,XLVI
SERPIS,XLVI-6-3,XLVI-6,,,0,0,0,,,1,281,"+14 IBERICOS
+1 ROMANO REPUBLICANO",NO,AC-37,XLVI
SERPIS,XLVI-8-6,XLVI-8,,,0,0,0,,,1,281,,NO,AC-37,XLVI
SERPIS,XLVI-8-7,XLVI-8,,,0,0,0,,,1,281,,NO,AC-37,XLVI
SERPIS,XLVI-8-10,XLVI-8,,,0,0,0,,,1,281,,NO,AC-37,XLVI
SERPIS,XLVI-8-13,XLVI-8,,,0,0,0,,,1,281,+ 1 ISLAMICO,NO,AC-37,XLVI
SERPIS,XLVI-8-15,XLVI-8,,,0,0,0,,,1,281,,NO,AC-37,XLVI
SERPIS,XLVI-8-16,XLVI-8,,,0,0,0,,,1,281,,SI,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,51,2,6,0,0,,,1,281,,NO,AC-37,XLVI
SERPIS,XLVI-6-2,XLVI-6,61,0,1,0,0,,,1,281,,NO,AC-37,XLVI
SERPIS,AC-37,,61,0,1,0,0,,,2,281,,SI,AC-37,
SERPIS,AC-37,,31,2,6,0,0,,,1,281,,SI,AC-37,
SERPIS,AC-37,,20,0,1,0,0,,,1,281,,SI,AC-37,
SERPIS,AC-37,,,,0,41,0,,,1,281,,SI,AC-37,
SERPIS,AC-37,,,,4,0,0,,,1,281,,SI,AC-37,
SERPIS,AC-37,,,,0,0,0,50,,1,281,,SI,AC-37,
SERPIS,AC-37,,,,0,0,0,,,12,281,,SI,AC-37,
SERPIS,AC-37,,10,0,0,0,0,,,3,281,,SI,AC-37,
SERPIS,AC-37,,51,0,0,0,0,,,1,281,,SI,AC-37,
SERPIS,AC-37,,20,0,0,0,0,,,1,281,,SI,AC-37,
SERPIS,AC-37,,,,0,42,0,,,1,281,,SI,AC-37,
SERPIS,AC-37,,,,0,0,11,,,1,281,,SI,AC-37,
SERPIS,AC-37,,,,0,0,0,22,,1,281,,SI,AC-37,
SERPIS,AC-37,,,,0,0,3,,,1,281,,SI,AC-37,
SERPIS,XLVI-8-13,XLVI-8,,,0,0,0,,,5,281,,SI,AC-37,XLVI
