SSECTOR,MICROBURIL,RAEDERA,DENTICULAT,RASPADOR,BURIL,PERFORADOR,TRUNCADURA,DORSO,GEOMETRICS,TRAPEZI,"TRIANGLE,N,1,0","RECTANGLE,N,1,0",SEGMENT,"PUNTA_DE_D,N,1,0","TALADRE,N,1,0",PUNTA_DE_F,PECA_RETOC,HRET,HINV,NCL_ASC,NCL_LAM,LLIURA_MAN,PEDRA_POLI
XI-3-10,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
XI-9-5,,,,,,,1,,,,,,,,,,,1,,,,,
XIII-21-6,,,,,,,,,,,,,,,,,1,,,1,,,
XIII-21-13,1,,,,,,1,,,,,,,,,,1,1,,,,,
XIII-22-2,,,1,,,,,,,,,,,,,,2,,,,,,
XIII-22-3,,,,,,,,,,,,,,,,,1,,,,,,
XIII-22-8,1,,,,,,2,,,,,,,,,,2,2,,3,1,,
XIII-23-1,,,,1,,,,,,,,,,,,,1,,,,1,,
XIV-4-3,,,1,,,,,,,,,,,,,,1,,,5,,,
XIV-6-3,,,,,,,,,,,,,,,,,,,,2,,,
XIV-10-2,,,,,,,,,,,,,,,,,,,,1,,,
XIV-11-10,,1,,,,,2,,,,,,,,,2,1,1,1,5,,,
XLVI-1-1,,,,,1,,,,,,,,,,,,1,,,,,,
XLVI-3-1,,,,,,,,,,,,,,,,,1,,,2,,,
XLVI-4-1,,,,,,,,,,,,,,,,,1,,,,,,
XLVI-6-1,,,,,,,,,,,,,,,,,,1,,2,1,,
XLVI-8-4,,,3,,,,2,5,1,1,,,,,,1,5,2,,8,3,1,1
XLVI-8-5,,,,,,,,1,,,,,,,,,,,,,1,,
XLVI-8-6,,,,,,,,,,,,,,,,,1,,,,,,
XLVI-8-7,,1,1,,,,3,4,1,,,,1,,,,2,,1,5,3,1,
XLVI-8-10,,,1,,,,,,,,,,,,,,,,,,,,
XLVI-8-11,6,,2,1,,,7,1,,,,,,,,,2,2,,3,,,
XLVI-8-12,,,,,,,2,,,,,,,,,,,,,,,,
XLVI-8-13,2,,,,,,3,,1,1,,,,,,1,1,4,,2,3,1,2
XLVI-8-14,7,,3,1,,,5,4,,,,,,,,,6,4,,5,2,,1
XLVI-8-15,10,0,2,3,0,1,8,7,0,0,0,0,0,0,0,1,8,5,0,14,3,1,0
XLVI-8-16,,,,,,,,,,,,,,,,,1,,,,1,,
XLVI-8-17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0
XLVI-8-18,6,,2,2,,,6,5,,,,,,,,,7,3,,7,2,1,
XLVI-8-19,1,,,1,,,2,,,,,,,,,,3,2,,2,,,
