SUBSECTOR,HCT,NEOLLTIC_R,NEOLLTIC_M,NEOLLTIC_A,MESOLLTIC_,MESOLLTIC_1,PALEOSUP_F,PALEOLLTIC,PALEOLLTIC1
XI-3-10,5,4,,,,,,,
XI-9-5,,3,3,3,3,3,3,3,
XIII-12-1,,,,,,3,3,3,
XIII-21-13,,3,3,3,,,,,
XIII-21-6,,,,,,3,3,3,
XIII-22-3,,,,,,3,3,3,
XIII-22-8,,3,3,3,3,3,3,3,
XIII-23-1,,,,,3,3,3,5,
XIII-7-1,,,,,,3,3,3,
XIV-10-2,,,,,,3,3,3,
XIV-11-10,4,4,,,,,,3,4
XIV-4-3,,,,,,3,3,3,
XIV-8-1,,,,,,3,3,3,
XLVI-1-1,,,,,,,3,3,
XLVI-4-1,,,,,,,,,3
XLVI-6-1,,3,3,3,,,,,
XLVI-6-3,,,,,,3,3,3,
XLVI-7-1,,,,,,3,3,3,
XLVI-8-10,,3,3,3,,,,,
XLVI-8-11,,3,3,3,5,5,3,5,
XLVI-8-13,4,4,,,,,,,
XLVI-8-14,,3,3,3,5,5,3,3,
XLVI-8-15,,3,3,3,4,4,,4,4
XLVI-8-16,,3,3,3,,,,,
XLVI-8-17,,3,3,3,,3,3,3,
XLVI-8-18,,,,,5,5,3,3,
XLVI-8-19,,,,,5,3,3,3,
XLVI-8-4,4,4,,,,,,,4
XLVI-8-5,,,,,,3,3,3,
XLVI-8-6,,3,3,3,,,,,
XLVI-8-7,,4,3,3,,3,,,4
