SECTOR,SSECTOR,DENSITY
XLVI-8,XLVI-8-1,2041
XLVI-8,XLVI-8-10,31323
XLVI-8,XLVI-8-11,13636
XLVI-8,XLVI-8-12,6811
XLVI-8,XLVI-8-13,97508
XLVI-8,XLVI-8-14,81592
XLVI-8,XLVI-8-15,93984
XLVI-8,XLVI-8-16,256260
XLVI-8,XLVI-8-17,13401
XLVI-8,XLVI-8-18,9775
XLVI-8,XLVI-8-19,17316
XLVI-8,XLVI-8-2,0
XLVI-8,XLVI-8-20,0
XLVI-8,XLVI-8-21,0
XLVI-8,XLVI-8-22,0
XLVI-8,XLVI-8-23,0
XLVI-8,XLVI-8-24,0
XLVI-8,XLVI-8-3,0
XLVI-8,XLVI-8-4,25957
XLVI-8,XLVI-8-5,21354
XLVI-8,XLVI-8-6,27647
XLVI-8,XLVI-8-7,131723
XLVI-8,XLVI-8-8,10826
