date,collection,prov,num_artifacts,month_year
10/15/1991,1,NA-5-IBI,50,Oct 1991
10/18/1991,1,NB-11-1,139,Oct 1991
10/13/1991,1,SB-10-4,14,Oct 1991
10/15/1991,1,SB-11-1,216,Oct 1991
10/11/1991,1,SB-12-1,15,Oct 1991
10/11/1991,1,SB-12-10,110,Oct 1991
10/11/1991,1,SB-12-11,18,Oct 1991
10/11/1991,1,SB-12-13,90,Oct 1991
10/12/1991,1,SB-12-14,56,Oct 1991
10/12/1991,1,SB-12-14,56,Oct 1991
10/11/1991,1,SB-12-2,39,Oct 1991
10/11/1991,1,SB-12-5,15,Oct 1991
10/21/1991,1,SB-3-1,156,Oct 1991
10/21/1991,1,SB-3-2,65,Oct 1991
10/21/1991,1,SB-3-2,65,Oct 1991
10/17/1991,1,SB-3-3,24,Oct 1991
10/17/1991,1,SB-3-3,24,Oct 1991
10/17/1991,1,SB-3-4,83,Oct 1991
10/17/1991,1,SB-3-4,83,Oct 1991
10/17/1991,1,SB-3-5,43,Oct 1991
10/12/1991,1,SB-9-1,96,Oct 1991
12/06/1991,2,NA-5-IBI,26,Dec-91
12/06/1991,2,SB-10-4,8,Dec-91
12/07/1991,2,SB-11-1,40,Dec-91
12/06/1991,2,SB-11-2,62,Dec-91
12/07/1991,2,SB-12-1,18,Dec-91
12/07/1991,2,SB-12-14,13,Dec-91
12/07/1991,2,SB-12-2,61,Dec-91
12/07/1991,2,SB-12-5,5,Dec-91
12/06/1991,2,SB-9-1,45,Dec-91
03/20/1993,2,SB-3-2,12,Mar-93
03/20/1993,2,SB-3-3,91,Mar-93
03/20/1993,2,SB-3-4,27,Mar-93
10/21/1993,2,NB-11-1,231,Oct-93
10/21/1993,2,SB-12-10,51,Oct-93
10/21/1993,2,SB-12-11,38,Oct-93
10/21/1993,2,SB-12-13,182,Oct-93
10/21/1993,3,SB-12-14,47,Oct-93
10/22/1993,2,SB-3-1,59,Oct-93
10/22/1993,3,SB-3-2,27,Oct-93
10/22/1993,3,SB-3-3,11,Oct-93
10/22/1993,3,SB-3-4,73,Oct-93
10/22/1993,2,SB-3-5,53,Oct-93
03/20/1995,3,NB-11-1,120,Mar-95
10/12/1995,4,NB-11-1,315,Oct-95
